order_id,product_id,product_name,region,channel,period,qty_sold,unit_price,revenue,returns_qty
ORD-000156,PROD-001,Product A,Latin America,Wholesale,2023-12,19052,27.85,530598.2,707
ORD-001629,PROD-010,Product J,North America,Retail,2023-09,19739,21.17,417874.63,508
ORD-000018,PROD-001,Product A,North America,Retail,2024-06,17825,68.93,1228677.25,473
ORD-001570,PROD-009,Product I,Middle East & Africa,Distributor,2024-10,11275,13.71,154580.25,82
ORD-001554,PROD-009,Product I,Middle East & Africa,Wholesale,2023-06,6511,74.97,488129.67,234
ORD-001022,PROD-006,Product F,Middle East & Africa,Retail,2024-02,17896,69.66,1246635.36,794
ORD-001460,PROD-009,Product I,North America,Distributor,2024-08,21068,56.94,1199611.92,234
ORD-001737,PROD-010,Product J,Middle East & Africa,Distributor,2023-09,7143,36.85,263219.55,226
ORD-000082,PROD-001,Product A,Asia Pacific,Wholesale,2023-10,18869,81.36,1535181.84,159
ORD-001682,PROD-010,Product J,Europe,Direct,2025-02,9374,61.11,572845.14,306
ORD-000571,PROD-004,Product D,North America,Retail,2025-07,7644,29.3,223969.2,170
ORD-000564,PROD-004,Product D,North America,Retail,2024-12,8795,35.78,314685.1,412
ORD-000956,PROD-006,Product F,Europe,Direct,2024-08,21764,19.85,432015.4,19
ORD-000141,PROD-001,Product A,Middle East & Africa,Distributor,2025-09,14930,64.27,959551.1,741
ORD-000719,PROD-004,Product D,Latin America,Retail,2025-11,43493,80.69,3509450.17,1567
ORD-000696,PROD-004,Product D,Latin America,Online,2023-12,30104,31.83,958210.32,506
ORD-001130,PROD-007,Product G,Europe,Distributor,2024-02,18024,72.42,1305298.08,753
ORD-000794,PROD-005,Product E,Asia Pacific,Distributor,2023-02,4734,50.9,240960.6,174
ORD-001436,PROD-008,Product H,Latin America,Online,2025-08,24500,64.45,1579025.0,305
ORD-000486,PROD-003,Product C,Middle East & Africa,Distributor,2024-06,10464,68.32,714900.48,151
ORD-000489,PROD-003,Product C,Middle East & Africa,Wholesale,2024-09,10706,28.28,302765.68,482
ORD-001371,PROD-008,Product H,Middle East & Africa,Retail,2023-03,11510,58.19,669766.9,465
ORD-000357,PROD-002,Product B,Latin America,Wholesale,2025-09,17213,89.2,1535399.6,535
ORD-000333,PROD-002,Product B,Latin America,Wholesale,2023-09,12859,79.23,1018818.57,439
ORD-000761,PROD-005,Product E,Europe,Wholesale,2023-05,9156,37.83,346371.48,233
ORD-000404,PROD-003,Product C,Europe,Distributor,2023-08,11977,65.49,784373.73,186
ORD-000130,PROD-001,Product A,Middle East & Africa,Distributor,2024-10,15776,31.02,489371.52,79
ORD-000628,PROD-004,Product D,Asia Pacific,Retail,2024-04,17250,31.98,551655.0,738
ORD-001391,PROD-008,Product H,Middle East & Africa,Wholesale,2024-11,18327,66.67,1221861.09,806
ORD-000673,PROD-004,Product D,Middle East & Africa,Retail,2025-01,11034,25.91,285890.94,501
ORD-000845,PROD-005,Product E,Middle East & Africa,Distributor,2024-05,13714,55.04,754818.56,157
ORD-001632,PROD-010,Product J,North America,Direct,2023-12,26721,46.85,1251878.85,597
ORD-000593,PROD-004,Product D,Europe,Distributor,2024-05,20631,13.83,285326.73,367
ORD-001090,PROD-007,Product G,North America,Wholesale,2023-10,18559,37.58,697447.22,648
ORD-000187,PROD-002,Product B,North America,Direct,2023-07,11232,57.16,642021.12,155
ORD-000179,PROD-001,Product A,Latin America,Wholesale,2025-11,19962,49.98,997700.76,778
ORD-001556,PROD-009,Product I,Middle East & Africa,Direct,2023-08,7729,30.53,235966.37,18
ORD-001360,PROD-008,Product H,Asia Pacific,Distributor,2025-04,19653,68.24,1341120.72,626
ORD-000378,PROD-003,Product C,North America,Wholesale,2024-06,8740,72.73,635660.2,270
ORD-001198,PROD-007,Product G,Middle East & Africa,Distributor,2023-10,14287,59.36,848076.32,277
ORD-000292,PROD-002,Product B,Middle East & Africa,Direct,2023-04,9369,21.3,199559.7,243
ORD-001612,PROD-009,Product I,Latin America,Direct,2025-04,11300,61.02,689526.0,72
ORD-001713,PROD-010,Product J,Asia Pacific,Distributor,2024-09,25492,52.73,1344193.16,739
ORD-000236,PROD-002,Product B,Europe,Retail,2024-08,24137,47.87,1155438.19,839
ORD-000733,PROD-005,Product E,North America,Wholesale,2024-01,5802,79.13,459112.26,215
ORD-001400,PROD-008,Product H,Middle East & Africa,Wholesale,2025-08,16890,37.0,624930.0,588
ORD-000984,PROD-006,Product F,Asia Pacific,Retail,2023-12,25081,16.7,418852.7,930
ORD-000632,PROD-004,Product D,Asia Pacific,Wholesale,2024-08,20146,75.62,1523440.52,139
ORD-001779,PROD-010,Product J,Latin America,Distributor,2024-03,15649,36.54,571814.46,573
ORD-000491,PROD-003,Product C,Middle East & Africa,Distributor,2024-11,13727,55.91,767476.57,538
ORD-000249,PROD-002,Product B,Europe,Direct,2025-09,26494,32.26,854696.44,952
ORD-000235,PROD-002,Product B,Europe,Distributor,2024-07,25516,80.16,2045362.56,204
ORD-001377,PROD-008,Product H,Middle East & Africa,Retail,2023-09,14262,25.05,357263.1,183
ORD-000134,PROD-001,Product A,Middle East & Africa,Distributor,2025-02,12162,38.11,463493.82,425
ORD-001565,PROD-009,Product I,Middle East & Africa,Retail,2024-05,8099,87.17,705989.83,391
ORD-001741,PROD-010,Product J,Middle East & Africa,Distributor,2024-01,7048,56.53,398423.44,337
ORD-000701,PROD-004,Product D,Latin America,Direct,2024-05,26171,37.83,990048.93,190
ORD-001442,PROD-009,Product I,North America,Distributor,2023-02,12152,19.17,232953.84,183
ORD-000556,PROD-004,Product D,North America,Wholesale,2024-04,6247,34.89,217957.83,163
ORD-001670,PROD-010,Product J,Europe,Retail,2024-02,8255,69.76,575868.8,13
ORD-000212,PROD-002,Product B,North America,Distributor,2025-08,13609,37.52,510609.68,526
ORD-001782,PROD-010,Product J,Latin America,Direct,2024-06,17468,26.12,456264.16,739
ORD-001441,PROD-009,Product I,North America,Direct,2023-01,12095,48.93,591808.35,108
ORD-001411,PROD-008,Product H,Latin America,Distributor,2023-07,14711,77.04,1133335.44,485
ORD-001651,PROD-010,Product J,North America,Direct,2025-07,33019,21.55,711559.45,822
ORD-001684,PROD-010,Product J,Europe,Online,2025-04,11324,66.52,753272.48,98
ORD-001500,PROD-009,Product I,Europe,Wholesale,2024-12,12880,18.89,243303.2,78
ORD-001482,PROD-009,Product I,Europe,Retail,2023-06,8595,45.45,390642.75,232
ORD-000727,PROD-005,Product E,North America,Wholesale,2023-07,6799,58.94,400733.06,145
ORD-001174,PROD-007,Product G,Asia Pacific,Retail,2024-10,26431,13.41,354439.71,777
ORD-000015,PROD-001,Product A,North America,Online,2024-03,16489,47.59,784711.51,166
ORD-001338,PROD-008,Product H,Asia Pacific,Wholesale,2023-06,15286,52.8,807100.8,640
ORD-001449,PROD-009,Product I,North America,Online,2023-09,17138,42.85,734363.3,807
ORD-000389,PROD-003,Product C,North America,Distributor,2025-05,8692,83.51,725868.92,356
ORD-000804,PROD-005,Product E,Asia Pacific,Online,2023-12,7883,75.25,593195.75,29
ORD-000637,PROD-004,Product D,Asia Pacific,Wholesale,2025-01,17332,56.14,973018.48,558
ORD-001429,PROD-008,Product H,Latin America,Direct,2025-01,18116,22.77,412501.32,470
ORD-001700,PROD-010,Product J,Asia Pacific,Direct,2023-08,22475,82.82,1861379.5,135
ORD-001071,PROD-006,Product F,Latin America,Retail,2025-03,27559,36.74,1012517.66,1312
ORD-001346,PROD-008,Product H,Asia Pacific,Direct,2024-02,13097,80.58,1055356.26,326
ORD-000225,PROD-002,Product B,Europe,Online,2023-09,20281,78.63,1594695.03,956
ORD-000793,PROD-005,Product E,Asia Pacific,Distributor,2023-01,4361,84.03,366454.83,210
ORD-001240,PROD-007,Product G,Latin America,Wholesale,2024-04,10215,68.87,703507.05,266
ORD-000947,PROD-006,Product F,Europe,Wholesale,2023-11,23240,72.71,1689780.4,413
ORD-000658,PROD-004,Product D,Middle East & Africa,Online,2023-10,11236,55.22,620451.92,436
ORD-001184,PROD-007,Product G,Asia Pacific,Wholesale,2025-08,29994,78.24,2346730.56,1093
ORD-001128,PROD-007,Product G,Europe,Distributor,2023-12,25613,73.17,1874103.21,366
ORD-001485,PROD-009,Product I,Europe,Retail,2023-09,8704,78.04,679260.16,364
ORD-001473,PROD-009,Product I,North America,Online,2025-09,23104,76.03,1756597.12,224
ORD-000117,PROD-001,Product A,Middle East & Africa,Wholesale,2023-09,12591,63.88,804313.08,343
ORD-001418,PROD-008,Product H,Latin America,Distributor,2024-02,13342,14.91,198929.22,641
ORD-001029,PROD-006,Product F,Middle East & Africa,Online,2024-09,22793,56.83,1295326.19,149
ORD-000213,PROD-002,Product B,North America,Wholesale,2025-09,14138,12.59,177997.42,473
ORD-001024,PROD-006,Product F,Middle East & Africa,Retail,2024-04,22605,18.26,412767.3,1052
ORD-000363,PROD-003,Product C,North America,Distributor,2023-03,5832,63.28,369048.96,66
ORD-001202,PROD-007,Product G,Middle East & Africa,Direct,2024-02,11804,66.73,787680.92,215
ORD-001341,PROD-008,Product H,Asia Pacific,Retail,2023-09,14799,22.7,335937.3,594
ORD-000998,PROD-006,Product F,Asia Pacific,Direct,2025-02,21120,75.6,1596672.0,793
ORD-001738,PROD-010,Product J,Middle East & Africa,Wholesale,2023-10,8152,15.04,122606.08,337
ORD-001530,PROD-009,Product I,Asia Pacific,Online,2024-06,16793,66.08,1109681.44,263
ORD-000592,PROD-004,Product D,Europe,Online,2024-04,18818,13.79,259500.22,548
ORD-000229,PROD-002,Product B,Europe,Distributor,2024-01,17900,71.55,1280745.0,466
ORD-001114,PROD-007,Product G,North America,Wholesale,2025-10,25125,82.28,2067285.0,79
ORD-000462,PROD-003,Product C,Asia Pacific,Retail,2025-06,20469,44.86,918239.34,670
ORD-000818,PROD-005,Product E,Asia Pacific,Direct,2025-02,8492,79.12,671887.04,191
ORD-000680,PROD-004,Product D,Middle East & Africa,Online,2025-08,12036,29.9,359876.4,172
ORD-000344,PROD-002,Product B,Latin America,Distributor,2024-08,15789,61.1,964707.9,772
ORD-001404,PROD-008,Product H,Middle East & Africa,Direct,2025-12,19560,27.48,537508.8,24
ORD-000688,PROD-004,Product D,Latin America,Online,2023-04,19769,58.01,1146799.69,881
ORD-000953,PROD-006,Product F,Europe,Online,2024-05,18140,30.39,551274.6,270
ORD-000053,PROD-001,Product A,Europe,Online,2024-05,8009,63.51,508651.59,216
ORD-001507,PROD-009,Product I,Europe,Distributor,2025-07,12835,76.1,976743.5,422
ORD-001074,PROD-006,Product F,Latin America,Wholesale,2025-06,33311,36.14,1203859.54,222
ORD-001255,PROD-007,Product G,Latin America,Wholesale,2025-07,17316,58.84,1018873.44,164
ORD-001308,PROD-008,Product H,Europe,Retail,2023-12,9241,62.98,581998.18,287
ORD-000040,PROD-001,Product A,Europe,Direct,2023-04,6900,80.46,555174.0,43
ORD-001002,PROD-006,Product F,Asia Pacific,Distributor,2025-06,28732,22.82,655664.24,1233
ORD-001295,PROD-008,Product H,North America,Wholesale,2025-11,33355,25.88,863227.4,195
ORD-001718,PROD-010,Product J,Asia Pacific,Distributor,2025-02,24618,81.75,2012521.5,752
ORD-000399,PROD-003,Product C,Europe,Wholesale,2023-03,10149,54.61,554236.89,283
ORD-000480,PROD-003,Product C,Middle East & Africa,Wholesale,2023-12,11260,51.77,582930.2,545
ORD-000426,PROD-003,Product C,Europe,Direct,2025-06,15275,31.82,486050.5,26
ORD-000878,PROD-005,Product E,Latin America,Distributor,2024-02,11135,87.9,978766.5,328
ORD-000477,PROD-003,Product C,Middle East & Africa,Distributor,2023-09,8076,49.17,397096.92,76
ORD-000949,PROD-006,Product F,Europe,Distributor,2024-01,17236,82.96,1429898.56,338
ORD-001539,PROD-009,Product I,Asia Pacific,Online,2025-03,17819,33.12,590165.28,400
ORD-000678,PROD-004,Product D,Middle East & Africa,Retail,2025-06,12860,46.85,602491.0,84
ORD-000747,PROD-005,Product E,North America,Online,2025-03,7613,22.32,169922.16,375
ORD-001001,PROD-006,Product F,Asia Pacific,Online,2025-05,27833,33.68,937415.44,602
ORD-001496,PROD-009,Product I,Europe,Wholesale,2024-08,10046,66.3,666049.8,383
ORD-001177,PROD-007,Product G,Asia Pacific,Retail,2025-01,22957,39.06,896700.42,1021
ORD-001415,PROD-008,Product H,Latin America,Online,2023-11,18055,68.61,1238753.55,568
ORD-000079,PROD-001,Product A,Asia Pacific,Online,2023-07,16950,77.03,1305658.5,626
ORD-001541,PROD-009,Product I,Asia Pacific,Direct,2025-05,18341,77.83,1427480.03,553
ORD-001259,PROD-007,Product G,Latin America,Online,2025-11,19640,60.5,1188220.0,738
ORD-001262,PROD-008,Product H,North America,Direct,2023-02,12004,37.42,449189.68,535
ORD-001098,PROD-007,Product G,North America,Retail,2024-06,18341,34.23,627812.43,191
ORD-000635,PROD-004,Product D,Asia Pacific,Wholesale,2024-11,25343,61.49,1558341.07,496
ORD-001116,PROD-007,Product G,North America,Wholesale,2025-12,30667,22.59,692767.53,1104
ORD-000116,PROD-001,Product A,Middle East & Africa,Retail,2023-08,13028,49.12,639935.36,86
ORD-001133,PROD-007,Product G,Europe,Online,2024-05,19607,43.5,852904.5,820
ORD-000826,PROD-005,Product E,Asia Pacific,Wholesale,2025-10,13501,72.16,974232.16,33
ORD-000295,PROD-002,Product B,Middle East & Africa,Wholesale,2023-07,11417,82.84,945784.28,308
ORD-001182,PROD-007,Product G,Asia Pacific,Retail,2025-06,27850,27.68,770888.0,968
ORD-001223,PROD-007,Product G,Middle East & Africa,Online,2025-11,21073,82.93,1747583.89,583
ORD-000915,PROD-006,Product F,North America,Wholesale,2024-03,7391,79.56,588027.96,297
ORD-001484,PROD-009,Product I,Europe,Wholesale,2023-08,8721,26.88,234420.48,3
ORD-000353,PROD-002,Product B,Latin America,Retail,2025-05,16216,56.75,920258.0,329
ORD-001105,PROD-007,Product G,North America,Distributor,2025-01,17340,26.43,458296.2,613
ORD-001282,PROD-008,Product H,North America,Distributor,2024-10,22721,71.65,1627959.65,662
ORD-001026,PROD-006,Product F,Middle East & Africa,Online,2024-06,21675,24.96,541008.0,11
ORD-001560,PROD-009,Product I,Middle East & Africa,Distributor,2023-12,9362,73.93,692132.66,312
ORD-000993,PROD-006,Product F,Asia Pacific,Wholesale,2024-09,22540,44.58,1004833.2,252
ORD-000951,PROD-006,Product F,Europe,Retail,2024-03,19129,64.28,1229612.12,92
ORD-001244,PROD-007,Product G,Latin America,Distributor,2024-08,13244,57.76,764973.44,248
ORD-000831,PROD-005,Product E,Middle East & Africa,Direct,2023-03,9489,28.73,272618.97,179
ORD-000923,PROD-006,Product F,North America,Retail,2024-11,10642,28.71,305531.82,162
ORD-000375,PROD-003,Product C,North America,Distributor,2024-03,7420,70.74,524890.8,119
ORD-000272,PROD-002,Product B,Asia Pacific,Direct,2024-08,27672,29.63,819921.36,1301
ORD-000748,PROD-005,Product E,North America,Direct,2025-04,9085,72.21,656027.85,171
ORD-001250,PROD-007,Product G,Latin America,Retail,2025-02,12175,46.46,565650.5,21
ORD-000364,PROD-003,Product C,North America,Online,2023-04,6500,85.1,553150.0,286
ORD-000790,PROD-005,Product E,Europe,Direct,2025-10,14900,18.3,272670.0,202
ORD-000581,PROD-004,Product D,Europe,Retail,2023-05,14168,27.69,392311.92,388
ORD-001028,PROD-006,Product F,Middle East & Africa,Direct,2024-08,22419,37.47,840039.93,616
ORD-000401,PROD-003,Product C,Europe,Direct,2023-05,9818,41.39,406367.02,182
ORD-000770,PROD-005,Product E,Europe,Retail,2024-02,9080,87.78,797042.4,364
ORD-000286,PROD-002,Product B,Asia Pacific,Retail,2025-10,32499,75.43,2451399.57,672
ORD-000843,PROD-005,Product E,Middle East & Africa,Wholesale,2024-03,12851,55.39,711816.89,271
ORD-001412,PROD-008,Product H,Latin America,Distributor,2023-08,16213,62.47,1012826.11,159
ORD-000901,PROD-006,Product F,North America,Online,2023-01,5619,33.9,190484.1,141
ORD-000868,PROD-005,Product E,Latin America,Distributor,2023-04,10925,44.98,491406.5,153
ORD-000089,PROD-001,Product A,Asia Pacific,Retail,2024-05,17484,18.32,320306.88,558
ORD-000393,PROD-003,Product C,North America,Online,2025-09,9732,34.8,338673.6,62
ORD-000840,PROD-005,Product E,Middle East & Africa,Distributor,2023-12,16636,60.0,998160.0,721
ORD-000858,PROD-005,Product E,Middle East & Africa,Direct,2025-06,20369,49.36,1005413.84,404
ORD-000838,PROD-005,Product E,Middle East & Africa,Retail,2023-10,13712,81.23,1113825.76,76
ORD-001630,PROD-010,Product J,North America,Direct,2023-10,22342,28.31,632502.02,600
ORD-001545,PROD-009,Product I,Asia Pacific,Direct,2025-09,20807,86.88,1807712.16,941
ORD-000784,PROD-005,Product E,Europe,Distributor,2025-04,11868,87.45,1037856.6,525
ORD-001083,PROD-007,Product G,North America,Retail,2023-03,12492,13.32,166393.44,169
ORD-000797,PROD-005,Product E,Asia Pacific,Wholesale,2023-05,5707,51.11,291684.77,245
ORD-000444,PROD-003,Product C,Asia Pacific,Online,2023-12,15795,25.24,398665.8,726
ORD-000155,PROD-001,Product A,Latin America,Distributor,2023-11,17219,82.78,1425388.82,406
ORD-001062,PROD-006,Product F,Latin America,Online,2024-06,24658,29.59,729630.22,397
ORD-000589,PROD-004,Product D,Europe,Wholesale,2024-01,16763,13.21,221439.23,466
ORD-001585,PROD-009,Product I,Latin America,Direct,2023-01,6098,26.11,159218.78,248
ORD-001009,PROD-006,Product F,Middle East & Africa,Online,2023-01,16254,77.62,1261635.48,432
ORD-000788,PROD-005,Product E,Europe,Retail,2025-08,11882,76.77,912181.14,133
ORD-001463,PROD-009,Product I,North America,Wholesale,2024-11,23869,65.56,1564851.64,776
ORD-001004,PROD-006,Product F,Asia Pacific,Wholesale,2025-08,31009,36.8,1141131.2,1295
ORD-000416,PROD-003,Product C,Europe,Retail,2024-08,13260,68.05,902343.0,454
ORD-000078,PROD-001,Product A,Asia Pacific,Online,2023-06,17940,80.56,1445246.4,291
ORD-001093,PROD-007,Product G,North America,Direct,2024-01,14752,82.02,1209959.04,529
ORD-001581,PROD-009,Product I,Middle East & Africa,Retail,2025-09,11497,21.22,243966.34,485
ORD-000303,PROD-002,Product B,Middle East & Africa,Distributor,2024-03,11253,81.24,914193.72,347
ORD-000051,PROD-001,Product A,Europe,Wholesale,2024-03,8174,68.49,559837.26,295
ORD-000314,PROD-002,Product B,Middle East & Africa,Wholesale,2025-02,12370,45.71,565432.7,570
ORD-001350,PROD-008,Product H,Asia Pacific,Online,2024-06,17910,59.87,1072271.7,620
ORD-000558,PROD-004,Product D,North America,Wholesale,2024-06,6395,23.59,150858.05,113
ORD-000654,PROD-004,Product D,Middle East & Africa,Wholesale,2023-06,9681,73.2,708649.2,247
ORD-000724,PROD-005,Product E,North America,Direct,2023-04,6274,23.34,146435.16,301
ORD-000296,PROD-002,Product B,Middle East & Africa,Direct,2023-08,10986,87.12,957100.32,490
ORD-001279,PROD-008,Product H,North America,Online,2024-07,19990,43.58,871164.2,673
ORD-001703,PROD-010,Product J,Asia Pacific,Retail,2023-11,27664,14.76,408320.64,568
ORD-000408,PROD-003,Product C,Europe,Retail,2023-12,14185,15.33,217456.05,292
ORD-000354,PROD-002,Product B,Latin America,Direct,2025-06,16703,51.31,857030.93,461
ORD-001444,PROD-009,Product I,North America,Retail,2023-04,14397,38.22,550253.34,686
ORD-001030,PROD-006,Product F,Middle East & Africa,Retail,2024-10,26991,37.1,1001366.1,376
ORD-000752,PROD-005,Product E,North America,Online,2025-08,9869,40.96,404234.24,395
ORD-001205,PROD-007,Product G,Middle East & Africa,Online,2024-05,13552,18.94,256674.88,632
ORD-001113,PROD-007,Product G,North America,Wholesale,2025-09,24004,76.47,1835585.88,197
ORD-000499,PROD-003,Product C,Middle East & Africa,Retail,2025-07,15294,86.39,1321248.66,297
ORD-001124,PROD-007,Product G,Europe,Retail,2023-08,21525,41.53,893933.25,646
ORD-001406,PROD-008,Product H,Latin America,Wholesale,2023-02,11073,38.34,424538.82,217
ORD-000945,PROD-006,Product F,Europe,Wholesale,2023-09,19941,52.1,1038926.1,120
ORD-000563,PROD-004,Product D,North America,Distributor,2024-11,7826,70.89,554785.14,123
ORD-000702,PROD-004,Product D,Latin America,Online,2024-06,27537,47.98,1321225.26,129
ORD-000258,PROD-002,Product B,Asia Pacific,Retail,2023-06,22056,39.77,877167.12,513
ORD-000767,PROD-005,Product E,Europe,Direct,2023-11,11328,77.48,877693.44,343
ORD-001076,PROD-006,Product F,Latin America,Online,2025-08,34461,54.19,1867441.59,1502
ORD-001757,PROD-010,Product J,Middle East & Africa,Distributor,2025-05,8828,28.44,251068.32,257
ORD-000120,PROD-001,Product A,Middle East & Africa,Direct,2023-12,15940,49.28,785523.2,466
ORD-000644,PROD-004,Product D,Asia Pacific,Distributor,2025-08,23576,83.98,1979912.48,1113
ORD-000802,PROD-005,Product E,Asia Pacific,Online,2023-10,7080,56.28,398462.4,198
ORD-001727,PROD-010,Product J,Asia Pacific,Distributor,2025-11,37307,59.19,2208201.33,992
ORD-001606,PROD-009,Product I,Latin America,Direct,2024-10,10767,18.93,203819.31,416
ORD-000140,PROD-001,Product A,Middle East & Africa,Distributor,2025-08,15883,33.63,534145.29,29
ORD-000340,PROD-002,Product B,Latin America,Retail,2024-04,13282,53.57,711516.74,357
ORD-000255,PROD-002,Product B,Asia Pacific,Distributor,2023-03,18529,88.19,1634072.51,281
ORD-000466,PROD-003,Product C,Asia Pacific,Wholesale,2025-10,22530,31.13,701358.9,722
ORD-000210,PROD-002,Product B,North America,Online,2025-06,13046,66.19,863514.74,410
ORD-000222,PROD-002,Product B,Europe,Retail,2023-06,20122,88.37,1778181.14,467
ORD-000437,PROD-003,Product C,Asia Pacific,Retail,2023-05,11235,88.59,995308.65,88
ORD-001516,PROD-009,Product I,Asia Pacific,Distributor,2023-04,12680,61.84,784131.2,625
ORD-000219,PROD-002,Product B,Europe,Direct,2023-03,15956,77.62,1238504.72,472
ORD-000904,PROD-006,Product F,North America,Direct,2023-04,6801,65.19,443357.19,335
ORD-000482,PROD-003,Product C,Middle East & Africa,Distributor,2024-02,7707,64.65,498257.55,298
ORD-001148,PROD-007,Product G,Europe,Online,2025-08,23612,87.06,2055660.72,463
ORD-000422,PROD-003,Product C,Europe,Online,2025-02,11183,62.44,698266.52,392
ORD-000415,PROD-003,Product C,Europe,Online,2024-07,13036,18.7,243773.2,313
ORD-000181,PROD-002,Product B,North America,Wholesale,2023-01,8398,13.6,114212.8,64
ORD-000436,PROD-003,Product C,Asia Pacific,Online,2023-04,10811,50.74,548550.14,377
ORD-001471,PROD-009,Product I,North America,Retail,2025-07,23739,52.01,1234665.39,602
ORD-000152,PROD-001,Product A,Latin America,Online,2023-08,14410,32.33,465875.3,171
ORD-000598,PROD-004,Product D,Europe,Direct,2024-10,25544,78.12,1995497.28,191
ORD-000069,PROD-001,Product A,Europe,Retail,2025-09,10064,51.81,521415.84,35
ORD-000044,PROD-001,Product A,Europe,Retail,2023-08,8945,70.96,634737.2,365
ORD-000851,PROD-005,Product E,Middle East & Africa,Distributor,2024-11,19769,26.81,530006.89,378
ORD-001088,PROD-007,Product G,North America,Online,2023-08,14959,82.76,1238006.84,397
ORD-001364,PROD-008,Product H,Asia Pacific,Direct,2025-08,21158,43.12,912332.96,793
ORD-000081,PROD-001,Product A,Asia Pacific,Direct,2023-09,17751,55.43,983937.93,137
ORD-000441,PROD-003,Product C,Asia Pacific,Retail,2023-09,12568,52.54,660322.72,564
ORD-001126,PROD-007,Product G,Europe,Wholesale,2023-10,23273,32.72,761492.56,867
ORD-000359,PROD-002,Product B,Latin America,Wholesale,2025-11,20330,38.69,786567.7,53
ORD-001536,PROD-009,Product I,Asia Pacific,Online,2024-12,22401,83.14,1862419.14,211
ORD-000203,PROD-002,Product B,North America,Online,2024-11,13646,45.94,626897.24,618
ORD-001232,PROD-007,Product G,Latin America,Direct,2023-08,10040,14.96,150198.4,431
ORD-001512,PROD-009,Product I,Europe,Wholesale,2025-12,16474,70.74,1165370.76,239
ORD-000446,PROD-003,Product C,Asia Pacific,Wholesale,2024-02,12440,31.9,396836.0,281
ORD-000657,PROD-004,Product D,Middle East & Africa,Retail,2023-09,10503,62.65,658012.95,249
ORD-001603,PROD-009,Product I,Latin America,Distributor,2024-07,10398,82.02,852843.96,45
ORD-000019,PROD-001,Product A,North America,Wholesale,2024-07,19393,89.09,1727722.37,224
ORD-001765,PROD-010,Product J,Latin America,Online,2023-01,11498,18.43,211908.14,516
